,a,aaa,aaa,c,d,end1
e_n-1$d-+-tq_n-1$q3-+-tq_n-2$q3,0.0,0.0625,0.0,0.0,0.9375,0.0
p_n+1$-91.0,0.0,4.69375,-0.9625,-1.9625,-0.76875,0.0
tq_n+1$qE,0.0,4.69375,-0.9625,-1.9625,-0.76875,0.0
e_n-1$d-+-t_n+1$-91,0.0,1.9807692307692308,0.0,-0.9807692307692307,0.0,0.0
e_n-1$d-+-p_n+1$-91.0,0.0,1.9807692307692308,0.0,-0.9807692307692307,0.0,0.0
e_n-1$d-+-tq_n+1$qE,0.0,1.9807692307692308,0.0,-0.9807692307692307,0.0,0.0
t_n$13.0-19.0,0.0,-1.1205357142857142,-0.5758928571428571,2.3794642857142856,-0.6830357142857143,0.0
tq_n$q3,-0.7647058823529411,-1.0,-1.8970588235294117,-1.7058823529411764,5.367647058823529,0.0
e_n-1$d-+-t_n$13.0-19.0,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-1$d-+-tq_n$q3,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-1$d-+-t_n$13.0-19.0-+-t_n-1$13.0-19.0,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-1$d-+-tq_n$q3-+-tq_n-1$q3,0.0,-1.0,0.0,0.0,1.0,0.0
t_n+1$0.0-5.0,0.0,-2.0096153846153846,1.4423076923076923,0.47115384615384615,0.09615384615384616,0.0
p_n+1$0.0,0.2303370786516854,-2.991573033707865,-4.404494382022472,5.598314606741573,1.5674157303370786,0.0
tq_n+1$q4,0.0,-1.0,-0.9705882352941176,0.14705882352941177,1.8235294117647058,0.0
e_n-1$d-+-t_n+1$0.0-5.0,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-1$d-+-p_n+1$0.0,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-1$d-+-tq_n+1$q4,0.0,-1.0,0.0,0.0,1.0,0.0
e_n-2$a,0.0,0.01875,0.96875,0.00625,0.00625,0.0
t_n-2$0.0-5.0,0.0,0.9711538461538461,0.0,0.019230769230769232,0.009615384615384616,0.0
tq_n-2$q1,0.0,0.01875,0.96875,0.00625,0.00625,0.0
e_n-1$d-+-e_n-2$a,0.0,0.9807692307692307,0.0,-0.9807692307692307,1.0,0.0
e_n-1$d-+-e_n-2$a-+-t_n-1$13.0-19.0,0.0,0.0,0.0,0.0,1.0,0.0
e_n-1$d-+-e_n-2$a-+-p_n-1$0.0,0.0,0.9807692307692307,0.0,-0.9807692307692307,1.0,0.0
e_n-1$d-+-e_n-2$a-+-tq_n-1$q3,0.0,0.9807692307692307,0.0,-0.9807692307692307,1.0,0.0
e_n-1$d-+-t_n-1$13.0-19.0-+-t_n-2$0.0-5.0,0.0,0.0,0.0,0.0,1.0,0.0
e_n-1$d-+-tq_n-1$q3-+-tq_n-2$q1,0.0,0.9807692307692307,0.0,-0.9807692307692307,1.0,0.0
t_n+1$13.0-19.0,0.9868421052631579,-0.881578947368421,0.8486842105263158,1.9078947368421053,-1.861842105263158,0.0
tq_n+1$q3,0.9705882352941176,0.0,0.0,0.0,0.029411764705882353,0.0
e_n-1$d-+-t_n+1$13.0-19.0,0.0,0.0,0.0,0.0,1.0,0.0
e_n-1$d-+-tq_n+1$q3,0.0,0.0,0.0,0.0,1.0,0.0
e_n-1$a,-0.7625,0.8,-0.0375,0.0375,0.9625,0.0
tq_n-1$q1,-0.7625,0.8,-0.0375,0.0375,0.9625,0.0
e_n-1$a-+-t_n$13.0-19.0,0.0,-0.140625,-0.546875,1.390625,0.296875,0.0
e_n-1$a-+-p_n$0.0,-0.7625,0.8,-0.0375,0.0375,0.9625,0.0
e_n-1$a-+-tq_n$q3,-0.7692307692307693,0.0,-1.9423076923076923,-1.7115384615384615,5.423076923076923,0.0
e_n-1$a-+-t_n-1$0.0-5.0,0.0,0.7727272727272727,-0.7045454545454546,-0.1590909090909091,1.0909090909090908,0.0
